"","YEAR","OCC","OCCSOC","STATEFIP","AGE","RACE","SEX","MARST","CITIZEN","INCTOT","REGION","IND","EducAttainment","Overeducation"
"159",2007,20,"111021",32,31,1,2,1,0,60000,41,6870,6,1
"160",2007,530,"131023",48,52,1,1,1,0,109000,33,580,6,NA
"161",2007,4760,"412031",34,53,6,1,1,2,31000,12,4870,5,1
"162",2007,4500,"395011",25,31,2,1,6,0,6900,11,8970,2,NA
"163",2007,3010,"291020",11,45,1,2,1,0,32100,31,7980,7,0
"164",2007,3850,"333050",47,59,1,1,1,0,35000,32,9470,2,NA
"165",2007,210,"119012",41,56,8,1,1,0,25300,42,170,1,NA
"166",2007,4000,"351011",42,17,1,1,6,0,3000,12,8680,1,0
"167",2007,2310,"252020",53,54,1,2,1,0,21000,42,7860,3,0
"168",2007,1810,"193020",6,31,1,1,1,0,151000,42,6490,5,NA
"169",2007,2300,"252010",29,19,1,2,6,0,12000,22,8470,2,0
"170",2007,3600,"311010",48,61,2,2,4,0,17500,33,8170,1,NA
"171",2007,7210,"493031",12,52,1,1,1,0,80000,31,570,2,0
"172",2007,5610,"435071",37,61,2,1,1,0,28000,31,1180,1,0
"173",2007,3500,"292061",36,47,2,2,6,0,43200,12,8190,2,NA
"174",2007,6440,"472150",39,51,1,1,1,0,21400,21,7870,2,NA
"175",2007,5630,"435111",6,30,1,1,1,0,25000,42,2370,2,0
"176",2007,4700,"411011",32,24,1,1,6,0,27500,41,8680,3,1
"177",2007,1410,"172070",26,55,1,1,1,0,52000,21,3570,5,0
"178",2007,430,"1191XX",13,49,1,2,1,0,72000,31,6680,2,NA
"179",2007,5860,"439061",42,23,2,2,6,0,1200,12,6480,5,1
"180",2007,110,"113021",53,39,1,1,1,3,1e+05,42,7270,3,0
"181",2007,4010,"351012",32,44,1,2,4,0,28000,41,8680,5,1
"182",2007,800,"132011",47,47,1,2,1,0,51800,32,770,4,0
"183",2007,620,"131070",13,48,6,1,1,0,60000,31,3580,5,NA
"184",2007,2310,"252020",26,41,1,2,1,0,52000,21,7860,6,1
"185",2007,9620,"537062",12,47,1,1,4,0,34000,31,3780,2,1
"186",2007,9130,"533030",34,38,2,1,6,0,24200,12,4170,3,1
"187",2007,2340,"253000",9,27,1,2,6,0,26000,11,7460,5,NA
"188",2007,3130,"291111",36,48,2,2,6,0,45000,12,8270,6,NA
"189",2007,4710,"411012",12,47,1,1,1,2,30000,31,6990,5,1
"190",2007,5700,"436010",39,49,1,2,1,0,84000,21,7270,3,NA
"191",2007,7360,"499044",41,55,1,1,1,0,50000,42,3770,3,1
"192",2007,4250,"373010",26,60,1,1,4,0,36800,21,7770,2,NA
"193",2007,2310,"252020",13,47,1,2,2,0,70000,31,7860,5,0
"194",2007,4760,"412031",8,50,1,2,1,0,20000,41,5790,5,1
